epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,4572.94,0.86476,1.33074,0.38821,0.96271,0,0.94272,0.94606,0.96102,0.64929,0.94202,0.94535,0.95878,0.57193,1.15771,1.72034,0.48178,1.20773,0,5.07115e-05,5.07115e-05,5.07115e-05
89,4624.98,0.85384,1.31525,0.3792,0.96151,0,0.94904,0.94256,0.95978,0.64735,0.94852,0.94293,0.95951,0.57226,1.16047,1.71776,0.48279,1.2083,0,4.47606e-05,4.47606e-05,4.47606e-05
90,4676.16,0.8621,1.32975,0.39024,0.95687,0,0.95013,0.93944,0.96048,0.64804,0.94969,0.93901,0.96006,0.57254,1.16177,1.71298,0.48317,1.2121,0,3.9264e-05,3.9264e-05,3.9264e-05
91,4720.3,0.85776,1.30631,0.36967,0.99333,0,0.94638,0.94385,0.96154,0.64338,0.94529,0.94279,0.95873,0.57067,1.16551,1.72808,0.49336,1.22913,0,3.4227e-05,3.4227e-05,3.4227e-05
92,4763.7,0.84677,1.31256,0.36674,0.99461,0,0.94287,0.94569,0.96155,0.64635,0.94261,0.94564,0.96152,0.57211,1.16094,1.71961,0.4906,1.22045,0,2.96546e-05,2.96546e-05,2.96546e-05
93,4806.99,0.84781,1.30091,0.36227,0.9929,0,0.94027,0.94156,0.96095,0.64881,0.93545,0.94708,0.96122,0.57425,1.15833,1.70626,0.48951,1.21462,0,2.55513e-05,2.55513e-05,2.55513e-05
94,4849.96,0.83289,1.28842,0.35248,0.98677,0,0.93531,0.94773,0.9619,0.65124,0.93413,0.94644,0.96037,0.5737,1.15555,1.71153,0.48467,1.20969,0,2.19212e-05,2.19212e-05,2.19212e-05
95,4892.9,0.82877,1.2836,0.3519,0.98361,0,0.94098,0.94438,0.96374,0.6516,0.93881,0.94227,0.96075,0.57449,1.15518,1.71445,0.48467,1.20948,0,1.87678e-05,1.87678e-05,1.87678e-05
96,4935.92,0.81823,1.27727,0.34636,0.97812,0,0.94401,0.94257,0.96411,0.65066,0.94183,0.94047,0.96059,0.57518,1.15569,1.72397,0.48398,1.21039,0,1.60943e-05,1.60943e-05,1.60943e-05
97,4978.83,0.82589,1.27943,0.34961,0.98009,0,0.94661,0.94143,0.96456,0.65114,0.94482,0.93943,0.96137,0.57524,1.15427,1.72975,0.48267,1.20945,0,1.39032e-05,1.39032e-05,1.39032e-05
98,5021.78,0.82025,1.27826,0.34858,0.96997,0,0.947,0.9411,0.96401,0.65071,0.94457,0.94057,0.96141,0.57726,1.15494,1.73171,0.48337,1.21071,0,1.21968e-05,1.21968e-05,1.21968e-05
99,5064.69,0.82012,1.27683,0.34898,0.97725,0,0.94621,0.94248,0.96466,0.65109,0.94401,0.94037,0.96102,0.57717,1.15365,1.72644,0.48158,1.2105,0,1.09768e-05,1.09768e-05,1.09768e-05
100,5107.61,0.81411,1.2701,0.34464,0.98265,0,0.94229,0.9483,0.96444,0.65014,0.94008,0.94619,0.96085,0.57438,1.15316,1.72527,0.48036,1.20869,0,1.02443e-05,1.02443e-05,1.02443e-05
